,Player Name,Nation,Position,Age,Matches Played,Playing Time_Starts,Minutes Played,Goals,Assists,Goals+Assists,Non-Penalty Goals,Penalties Scored,Penalties Taken,Yellow Cards,Red Cards,xG,Non-Penalty xG (npxG),xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progrssive Passes Received,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,League_Previous_Season
582,Salis Abdul Samed,gh GHA,MF,24.0,10.0,3,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Sunderland,EFL Championship
583,Aaron Connolly,ie IRL,"FW,MF",24.0,10.0,2,246.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,1.0,9.0,0.37,0.0,0.37,0.37,0.37,0.25,0.0,0.25,0.25,0.25,Sunderland,EFL Championship
584,Jack Clarke,eng ENG,FW,23.0,2.0,2,179.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,1.2,6.0,3.0,13.0,0.5,0.5,1.01,0.5,1.01,0.05,0.56,0.61,0.05,0.61,Sunderland,EFL Championship
585,Harrison Jones,eng ENG,MF,19.0,4.0,2,132.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.26,0.08,0.26,Sunderland,EFL Championship
586,Joe Anderson,eng ENG,DF,23.0,2.0,1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland,EFL Championship
587,Ian Poveda,eng ENG,"FW,MF",24.0,6.0,0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.2,5.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Sunderland,EFL Championship
588,Nazariy Rusyn,ua UKR,FW,25.0,8.0,0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Sunderland,EFL Championship
589,Jenson Seelt,nl NED,DF,21.0,1.0,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland,EFL Championship
590,Nectarios Triantis,au AUS,FW,21.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland,EFL Championship
601,Pedro Porro,es ESP,DF,24.0,33.0,28,2610.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,5.0,6.6,65.0,154.0,109.0,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23,Tottenham-Hotspur,English Premier League
602,Dejan Kulusevski,se SWE,"MF,FW",24.0,32.0,27,2389.0,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,4.2,4.2,6.2,10.4,120.0,124.0,210.0,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,Tottenham-Hotspur,English Premier League
603,Dominic Solanke,eng ENG,FW,26.0,27.0,25,2201.0,9.0,3.0,12.0,8.0,1.0,1.0,0.0,0.0,10.9,10.1,2.9,13.1,31.0,47.0,88.0,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,Tottenham-Hotspur,English Premier League
604,Brennan Johnson,wls WAL,FW,23.0,33.0,24,2177.0,11.0,3.0,14.0,11.0,0.0,0.0,5.0,0.0,10.4,10.4,2.3,12.7,60.0,71.0,197.0,0.45,0.12,0.58,0.45,0.58,0.43,0.09,0.52,0.43,0.52,Tottenham-Hotspur,English Premier League
605,Guglielmo Vicario,it ITA,GK,27.0,24.0,24,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur,English Premier League
606,Son Heung-min,kr KOR,FW,32.0,30.0,24,2110.0,7.0,9.0,16.0,6.0,1.0,2.0,1.0,0.0,7.2,5.7,8.2,13.9,96.0,111.0,265.0,0.3,0.38,0.68,0.26,0.64,0.31,0.35,0.66,0.24,0.59,Tottenham-Hotspur,English Premier League
607,Destiny Udogie,it ITA,DF,21.0,25.0,24,1924.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,121.0,94.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,Tottenham-Hotspur,English Premier League
608,Pape Matar Sarr,sn SEN,MF,21.0,36.0,22,1913.0,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,3.7,3.7,1.6,5.3,33.0,88.0,53.0,0.14,0.09,0.24,0.14,0.24,0.17,0.08,0.25,0.17,0.25,Tottenham-Hotspur,English Premier League
609,James Maddison,eng ENG,MF,27.0,31.0,21,1809.0,9.0,7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Tottenham-Hotspur,English Premier League
610,Rodrigo Bentancur,uy URU,MF,27.0,26.0,21,1645.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.3,1.3,0.4,1.7,28.0,100.0,34.0,0.11,0.0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,Tottenham-Hotspur,English Premier League
611,Djed Spence,eng ENG,DF,23.0,25.0,19,1792.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,1.8,2.3,59.0,105.0,70.0,0.05,0.1,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,Tottenham-Hotspur,English Premier League
612,Archie Gray,eng ENG,"DF,MF",18.0,28.0,19,1751.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,7.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Tottenham-Hotspur,English Premier League
613,Cristian Romero,ar ARG,DF,26.0,18.0,18,1416.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.6,2.2,12.0,71.0,3.0,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,Tottenham-Hotspur,English Premier League
614,Yves Bissouma,ml MLI,MF,27.0,28.0,16,1408.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.6,0.6,0.3,0.9,15.0,75.0,3.0,0.13,0.0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,Tottenham-Hotspur,English Premier League
615,Ben Davies,wls WAL,DF,31.0,17.0,14,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,0.5,14.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Tottenham-Hotspur,English Premier League
616,Radu Drăgușin,ro ROU,DF,22.0,16.0,14,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,7.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Tottenham-Hotspur,English Premier League
617,Micky van de Ven,nl NED,DF,23.0,13.0,12,1015.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.2,1.7,8.0,51.0,1.0,0.0,0.18,0.18,0.0,0.18,0.05,0.1,0.15,0.05,0.15,Tottenham-Hotspur,English Premier League
618,Lucas Bergvall,se SWE,MF,18.0,27.0,11,1212.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.3,33.0,49.0,31.0,0.0,0.07,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,Tottenham-Hotspur,English Premier League
619,Mathys Tel,fr FRA,FW,19.0,13.0,11,911.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,2.2,2.6,4.7,28.0,21.0,72.0,0.2,0.1,0.3,0.1,0.2,0.29,0.25,0.55,0.22,0.47,Tottenham-Hotspur,English Premier League
620,Wilson Odobert,fr FRA,"FW,MF",19.0,16.0,9,850.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,1.0,2.6,45.0,27.0,66.0,0.11,0.0,0.11,0.11,0.11,0.17,0.1,0.27,0.17,0.27,Tottenham-Hotspur,English Premier League
621,Kevin Danso,at AUT,DF,25.0,10.0,9,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,11.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Tottenham-Hotspur,English Premier League
622,Fraser Forster,eng ENG,GK,36.0,7.0,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur,English Premier League
623,Antonín Kinský,cz CZE,GK,21.0,6.0,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Tottenham-Hotspur,English Premier League
624,Timo Werner,de GER,"FW,MF",28.0,18.0,4,516.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,3.5,42.0,30.0,89.0,0.0,0.52,0.52,0.0,0.52,0.17,0.44,0.61,0.17,0.61,Tottenham-Hotspur,English Premier League
625,Richarlison,br BRA,FW,27.0,15.0,4,504.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.7,3.7,0.9,4.6,8.0,11.0,22.0,0.71,0.18,0.89,0.71,0.89,0.66,0.16,0.82,0.66,0.82,Tottenham-Hotspur,English Premier League
626,Mikey Moore,eng ENG,FW,16.0,10.0,3,366.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,12.0,9.0,40.0,0.0,0.25,0.25,0.0,0.25,0.05,0.08,0.13,0.05,0.13,Tottenham-Hotspur,English Premier League
627,Sergio Reguilón,es ESP,DF,27.0,4.0,1,196.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,Tottenham-Hotspur,English Premier League
628,Brandon Austin,eng ENG,GK,25.0,1.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur,English Premier League
629,Dane Scarlett,eng ENG,"FW,MF",20.0,3.0,0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,2.65,2.65,0.0,2.65,0.09,0.12,0.22,0.09,0.22,Tottenham-Hotspur,English Premier League
630,Alfie Dorrington,eng ENG,DF,19.0,1.0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur,English Premier League
631,Will Lankshear,eng ENG,"FW,MF",19.0,3.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur,English Premier League
641,Max Kilman,eng ENG,DF,27.0,38.0,38,3348.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.6,1.6,1.2,2.8,31.0,113.0,6.0,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.08,0.04,0.08,West-Ham-United,English Premier League
642,Aaron Wan-Bissaka,eng ENG,DF,26.0,36.0,35,3154.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,West-Ham-United,English Premier League
643,Jarrod Bowen,eng ENG,"FW,MF",27.0,34.0,34,2973.0,13.0,8.0,21.0,12.0,1.0,1.0,1.0,0.0,8.6,7.8,6.8,14.7,109.0,91.0,212.0,0.39,0.24,0.64,0.36,0.61,0.26,0.21,0.47,0.24,0.44,West-Ham-United,English Premier League
644,Mohammed Kudus,gh GHA,"FW,MF",23.0,32.0,31,2590.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,1.0,6.9,6.9,3.1,10.0,98.0,79.0,216.0,0.17,0.1,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35,West-Ham-United,English Premier League
645,Tomáš Souček,cz CZE,MF,29.0,35.0,30,2567.0,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,6.7,6.7,1.0,7.8,9.0,74.0,68.0,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,West-Ham-United,English Premier League
646,Lucas Paquetá,br BRA,"MF,FW",26.0,33.0,27,2380.0,4.0,0.0,4.0,2.0,2.0,2.0,10.0,0.0,5.3,3.7,3.1,6.8,26.0,155.0,85.0,0.15,0.0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,West-Ham-United,English Premier League
647,Emerson Palmieri,it ITA,DF,29.0,31.0,26,2113.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,West-Ham-United,English Premier League
648,Alphonse Areola,fr FRA,GK,31.0,26.0,25,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United,English Premier League
649,Konstantinos Mavropanos,gr GRE,DF,26.0,33.0,21,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,1.5,0.5,2.0,17.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,West-Ham-United,English Premier League
650,Jean-Clair Todibo,fr FRA,DF,24.0,27.0,20,1825.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.4,9.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,West-Ham-United,English Premier League
651,Edson Álvarez,mx MEX,MF,26.0,28.0,20,1772.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.4,0.4,0.8,1.2,24.0,85.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,West-Ham-United,English Premier League
652,Guido Rodríguez,ar ARG,MF,30.0,23.0,16,1149.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.2,0.4,4.0,33.0,7.0,0.0,0.08,0.08,0.0,0.08,0.02,0.01,0.03,0.02,0.03,West-Ham-United,English Premier League
653,Carlos Soler,es ESP,"MF,FW",27.0,31.0,14,1409.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,1.4,3.2,17.0,56.0,37.0,0.06,0.06,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,West-Ham-United,English Premier League
654,Łukasz Fabiański,pl POL,GK,39.0,14.0,13,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United,English Premier League
655,James Ward-Prowse,eng ENG,MF,29.0,15.0,12,1039.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.9,3.6,11.0,54.0,9.0,0.09,0.09,0.17,0.09,0.17,0.14,0.17,0.31,0.14,0.31,West-Ham-United,English Premier League
656,Vladimír Coufal,cz CZE,DF,31.0,22.0,11,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,26.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,West-Ham-United,English Premier League
657,Michail Antonio,jm JAM,FW,34.0,14.0,11,836.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,1.6,3.8,29.0,18.0,59.0,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,West-Ham-United,English Premier League
658,Aaron Cresswell,eng ENG,DF,34.0,18.0,10,824.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,West-Ham-United,English Premier League
659,Crysencio Summerville,nl NED,"FW,MF",22.0,19.0,7,786.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,West-Ham-United,English Premier League
660,Oliver Scarles,eng ENG,"DF,FW",18.0,15.0,7,665.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,12.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,West-Ham-United,English Premier League
661,Niclas Füllkrug,de GER,FW,31.0,18.0,6,790.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,1.9,4.1,7.0,14.0,31.0,0.34,0.23,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46,West-Ham-United,English Premier League
662,Danny Ings,eng ENG,"FW,MF",32.0,15.0,1,284.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,1.3,3.5,6.0,5.0,29.0,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,West-Ham-United,English Premier League
663,Andy Irving,sct SCO,MF,24.0,10.0,1,166.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.4,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,West-Ham-United,English Premier League
664,Evan Ferguson,ie IRL,FW,19.0,8.0,1,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.5,0.32,0.5,West-Ham-United,English Premier League
665,Luis Guilherme,br BRA,"MF,FW",18.0,12.0,1,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,4.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.3,0.25,0.3,West-Ham-United,English Premier League
666,Lewis Orford,eng ENG,MF,18.0,2.0,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,West-Ham-United,English Premier League
667,Kaelan Casey,eng ENG,DF,19.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United,English Premier League
670,Rayan Aït-Nouri,dz ALG,DF,23.0,37.0,37,3109.0,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,2.7,2.7,5.5,8.2,89.0,108.0,176.0,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,Wolverhampton-Wanderers,English Premier League
671,João Gomes,br BRA,MF,23.0,36.0,35,2974.0,3.0,1.0,4.0,3.0,0.0,0.0,11.0,1.0,2.9,2.9,1.2,4.1,59.0,165.0,76.0,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,Wolverhampton-Wanderers,English Premier League
672,Nélson Semedo,pt POR,DF,30.0,34.0,32,2886.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,2.8,3.7,67.0,80.0,119.0,0.0,0.12,0.12,0.0,0.12,0.03,0.09,0.12,0.03,0.12,Wolverhampton-Wanderers,English Premier League
673,André,br BRA,MF,23.0,33.0,31,2472.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.8,1.3,10.0,109.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Wolverhampton-Wanderers,English Premier League
674,Toti Gomes,pt POR,DF,25.0,31.0,30,2614.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.9,1.7,27.0,86.0,18.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06,Wolverhampton-Wanderers,English Premier League
675,Jørgen Strand Larsen,no NOR,FW,24.0,35.0,30,2587.0,14.0,4.0,18.0,14.0,0.0,0.0,4.0,0.0,10.3,10.3,3.0,13.3,17.0,29.0,112.0,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46,Wolverhampton-Wanderers,English Premier League
676,José Sá,pt POR,GK,31.0,29.0,29,2609.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Wolverhampton-Wanderers,English Premier League
677,Matheus Cunha,br BRA,"MF,FW",25.0,33.0,29,2597.0,15.0,6.0,21.0,15.0,0.0,0.0,4.0,0.0,8.6,8.6,7.7,16.4,112.0,144.0,161.0,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57,Wolverhampton-Wanderers,English Premier League
678,Matt Doherty,ie IRL,DF,32.0,30.0,25,2109.0,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,1.5,2.6,29.0,79.0,41.0,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,Wolverhampton-Wanderers,English Premier League
679,Jean-Ricner Bellegarde,fr FRA,"MF,FW",26.0,35.0,20,1677.0,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,3.8,5.3,52.0,43.0,89.0,0.11,0.38,0.48,0.11,0.48,0.08,0.2,0.29,0.08,0.29,Wolverhampton-Wanderers,English Premier League
680,Santiago Bueno,uy URU,DF,25.0,29.0,18,1687.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Wolverhampton-Wanderers,English Premier League
681,Emmanuel Agbadou,ci CIV,DF,27.0,16.0,16,1410.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.1,6.0,31.0,2.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Wolverhampton-Wanderers,English Premier League
682,Mario Lemina,ga GAB,"MF,DF",30.0,17.0,15,1364.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.1,2.5,8.0,48.0,21.0,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Wolverhampton-Wanderers,English Premier League
683,Marshall Munetsi,zw ZIM,"MF,FW",28.0,14.0,12,1078.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.3,3.3,1.8,5.1,9.0,10.0,35.0,0.17,0.08,0.25,0.17,0.25,0.28,0.15,0.42,0.28,0.42,Wolverhampton-Wanderers,English Premier League
684,Gonçalo Guedes,pt POR,"MF,FW",27.0,29.0,10,995.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,3.2,3.2,1.3,4.5,41.0,40.0,79.0,0.18,0.36,0.54,0.18,0.54,0.29,0.11,0.4,0.29,0.4,Wolverhampton-Wanderers,English Premier League
685,Craig Dawson,eng ENG,DF,34.0,15.0,10,971.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.0,0.5,6.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Wolverhampton-Wanderers,English Premier League
686,Pablo Sarabia,es ESP,"MF,FW",32.0,23.0,7,814.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.8,4.6,15.0,60.0,62.0,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51,Wolverhampton-Wanderers,English Premier League
687,Rodrigo Gomes,pt POR,"DF,FW",21.0,25.0,7,810.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,23.0,27.0,81.0,0.22,0.0,0.22,0.22,0.22,0.08,0.1,0.18,0.08,0.18,Wolverhampton-Wanderers,English Premier League
688,Sam Johnstone,eng ENG,GK,31.0,7.0,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers,English Premier League
689,Hwang Hee-chan,kr KOR,"MF,FW",28.0,21.0,5,661.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,15.0,12.0,42.0,0.27,0.0,0.27,0.27,0.27,0.11,0.02,0.13,0.11,0.13,Wolverhampton-Wanderers,English Premier League
690,Yerson Mosquera,co COL,DF,23.0,5.0,5,441.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Wolverhampton-Wanderers,English Premier League
691,Tommy Doyle,eng ENG,MF,22.0,24.0,3,488.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,6.0,40.0,4.0,0.0,0.18,0.18,0.0,0.18,0.1,0.09,0.2,0.1,0.2,Wolverhampton-Wanderers,English Premier League
